stage,model_type,method,seed,target_epsilon,actual_epsilon,run_id,attribute,n_tokens,n_tokens_group0,n_tokens_group1,test_auc,test_brier,group0_auc,group1_auc,auc_gap,signed_disparity,group1_minus_group0_auc,group0_brier,group1_brier,brier_gap
D13_D14_RANKING_CLIP,dkt,CLIP-C2p0,44,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D13_D14_RANKING_CLIP__CLIP-C2p0__eps10p0__seed44,imd_low30_vs_rest,21330,15049,6281,0.6632834654410518,0.11037437851249345,0.6715338894083202,0.6503401273450435,0.02119376206327661,-0.02119376206327661,-0.02119376206327661,0.10743260981153302,0.11742272705265486,0.009990117241121838
D13_D14_RANKING_CLIP,dkt,CLIP-C2p0,44,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D13_D14_RANKING_CLIP__CLIP-C2p0__eps10p0__seed44,imd_low30_vs_high70,12258,5977,6281,0.6572963905906615,0.11390798349730284,0.6710470009693359,0.6503401273450435,0.020706873624292355,-0.020706873624292355,-0.020706873624292355,0.11021447433364782,0.11742272705265486,0.007208252719007033
D13_D14_RANKING_CLIP,dkt,DP-C1p0,42,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D13_D14_RANKING_CLIP__DP-C1p0__eps10p0__seed42,imd_low30_vs_rest,21330,15049,6281,0.7212666883385155,0.07121521360432774,0.725611836588486,0.7178071103827748,0.007804726205711265,-0.007804726205711265,-0.007804726205711265,0.0658124805582197,0.08415992457565075,0.018347444017431047
D13_D14_RANKING_CLIP,dkt,DP-C1p0,42,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D13_D14_RANKING_CLIP__DP-C1p0__eps10p0__seed42,imd_low30_vs_high70,12258,5977,6281,0.7210544615665,0.07585098583091554,0.7334158844992947,0.7178071103827748,0.015608774116519952,-0.015608774116519952,-0.015608774116519952,0.06711944086593613,0.08415992457565075,0.017040483709714616
D13_D14_RANKING_CLIP,dkt,DP-C1p0,43,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D13_D14_RANKING_CLIP__DP-C1p0__eps10p0__seed43,imd_low30_vs_rest,21330,15049,6281,0.7166945215502178,0.07237447186353657,0.7216371319769461,0.7088029110690042,0.012834220907941951,-0.012834220907941951,-0.012834220907941951,0.06727550145070173,0.0845913809134891,0.01731587946278737
D13_D14_RANKING_CLIP,dkt,DP-C1p0,43,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D13_D14_RANKING_CLIP__DP-C1p0__eps10p0__seed43,imd_low30_vs_high70,12258,5977,6281,0.714285489636649,0.07690200515459295,0.7248658297278767,0.7088029110690042,0.01606291865887255,-0.01606291865887255,-0.01606291865887255,0.0688215351626862,0.0845913809134891,0.015769845750802897
D13_D14_RANKING_CLIP,dkt,DP-C1p0,44,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D13_D14_RANKING_CLIP__DP-C1p0__eps10p0__seed44,imd_low30_vs_rest,21330,15049,6281,0.7174863861989045,0.07192227572768461,0.7250593040507074,0.7070937391531953,0.01796556489751211,-0.01796556489751211,-0.01796556489751211,0.06656673910632384,0.08475390613922074,0.018187167032896898
D13_D14_RANKING_CLIP,dkt,DP-C1p0,44,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D13_D14_RANKING_CLIP__DP-C1p0__eps10p0__seed44,imd_low30_vs_high70,12258,5977,6281,0.7128262934563073,0.07680466541112951,0.727470624394165,0.7070937391531953,0.0203768852409697,-0.0203768852409697,-0.0203768852409697,0.06845111329248456,0.08475390613922074,0.016302792846736178
D13_D14_RANKING_CLIP,dkt,GPR-DP_lam0p005,42,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D13_D14_RANKING_CLIP__GPR-DP_lam0p005__eps10p0__seed42,imd_low30_vs_rest,21330,15049,6281,0.7197712546501573,0.07124764969594588,0.7241607752669018,0.7161960931587601,0.007964682108141719,-0.007964682108141719,-0.007964682108141719,0.06581769069233655,0.08425759286507771,0.018439902172741163
D13_D14_RANKING_CLIP,dkt,GPR-DP_lam0p005,42,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D13_D14_RANKING_CLIP__GPR-DP_lam0p005__eps10p0__seed42,imd_low30_vs_high70,12258,5977,6281,0.719505340730026,0.07590353206096409,0.7318941059649621,0.7161960931587601,0.015698012806201977,-0.015698012806201977,-0.015698012806201977,0.06712457005483435,0.08425759286507771,0.017133022810243356
D13_D14_RANKING_CLIP,dkt,GPR-DP_lam0p005,43,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D13_D14_RANKING_CLIP__GPR-DP_lam0p005__eps10p0__seed43,imd_low30_vs_rest,21330,15049,6281,0.7161362626084724,0.07235948684871059,0.7209083402168107,0.7086553945249598,0.01225294569185087,-0.01225294569185087,-0.01225294569185087,0.06725034119934983,0.08460077531825837,0.017350434118908534
D13_D14_RANKING_CLIP,dkt,GPR-DP_lam0p005,43,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D13_D14_RANKING_CLIP__GPR-DP_lam0p005__eps10p0__seed43,imd_low30_vs_high70,12258,5977,6281,0.7139554210414757,0.07689781248082392,0.7245228187972355,0.7086553945249598,0.01586742427227561,-0.01586742427227561,-0.01586742427227561,0.06880306434933221,0.08460077531825837,0.015797710968926154
D13_D14_RANKING_CLIP,dkt,GPR-DP_lam0p005,44,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D13_D14_RANKING_CLIP__GPR-DP_lam0p005__eps10p0__seed44,imd_low30_vs_rest,21330,15049,6281,0.717072207774323,0.07195757588317396,0.7245787714709823,0.7067170527417878,0.01786171872919451,-0.01786171872919451,-0.01786171872919451,0.06659850578176266,0.08479767235764281,0.018199166575880152
D13_D14_RANKING_CLIP,dkt,GPR-DP_lam0p005,44,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D13_D14_RANKING_CLIP__GPR-DP_lam0p005__eps10p0__seed44,imd_low30_vs_high70,12258,5977,6281,0.7128009258473753,0.0768404320840177,0.7277972827072055,0.7067170527417878,0.021080229965417696,-0.021080229965417696,-0.021080229965417696,0.06847847354986356,0.08479767235764281,0.016319198807779253
