stage,model_type,method,seed,target_epsilon,actual_epsilon,run_id,attribute,n_tokens,n_tokens_group0,n_tokens_group1,test_auc,test_brier,group0_auc,group1_auc,auc_gap,signed_disparity,group1_minus_group0_auc,group0_brier,group1_brier,brier_gap
D8_DKT_MAIN,dkt,DP-C1p0,42,0.5,0.4924073189234801,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D8_DKT_MAIN__DP-C1p0__eps0p5__seed42,imd_low30_vs_rest,21330,15049,6281,0.5900011985484859,0.20421548002679032,0.5879364709712922,0.5962199063405086,0.008283435369216385,0.008283435369216385,0.008283435369216385,0.20383266305125158,0.20513269267841938,0.001300029627167798
D8_DKT_MAIN,dkt,DP-C1p0,42,0.5,0.4924073189234801,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D8_DKT_MAIN__DP-C1p0__eps0p5__seed42,imd_low30_vs_high70,12258,5977,6281,0.5953388404908753,0.20500632819696157,0.5979967058341411,0.5962199063405086,0.0017767994936325193,-0.0017767994936325193,-0.0017767994936325193,0.20487353661121005,0.20513269267841938,0.0002591560672093318
D8_DKT_MAIN,dkt,DP-C1p0,42,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D8_DKT_MAIN__DP-C1p0__eps1p0__seed42,imd_low30_vs_rest,21330,15049,6281,0.6211880068800313,0.17082039731138823,0.6212655456925418,0.6228636417951212,0.0015980961025794382,0.0015980961025794382,0.0015980961025794382,0.1697866096693735,0.17329730707490978,0.0035106974055362783
D8_DKT_MAIN,dkt,DP-C1p0,42,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D8_DKT_MAIN__DP-C1p0__eps1p0__seed42,imd_low30_vs_high70,12258,5977,6281,0.6235575948593389,0.1723752776857661,0.6277572877509043,0.6228636417951212,0.004893645955783121,-0.004893645955783121,-0.004893645955783121,0.17140635237319932,0.17329730707490978,0.0018909547017104678
D8_DKT_MAIN,dkt,DP-C1p0,42,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D8_DKT_MAIN__DP-C1p0__eps10p0__seed42,imd_low30_vs_rest,21330,15049,6281,0.7212685327096586,0.07121521356706648,0.7256124440481676,0.7178115202312467,0.0078009238169208794,-0.0078009238169208794,-0.0078009238169208794,0.06581248058094642,0.08415992439466095,0.01834744381371453
D8_DKT_MAIN,dkt,DP-C1p0,42,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D8_DKT_MAIN__DP-C1p0__eps10p0__seed42,imd_low30_vs_high70,12258,5977,6281,0.72105768941886,0.07585098563606597,0.7334135202654246,0.7178115202312467,0.015602000034177887,-0.015602000034177887,-0.015602000034177887,0.0671194406565219,0.08415992439466095,0.01704048373813906
D8_DKT_MAIN,dkt,DP-C1p0,43,0.5,0.4924073189234801,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D8_DKT_MAIN__DP-C1p0__eps0p5__seed43,imd_low30_vs_rest,21330,15049,6281,0.6184924730920888,0.2101519120221763,0.6258988964567709,0.6045360270394838,0.021362869417287045,-0.021362869417287045,-0.021362869417287045,0.20943028079548184,0.21188090873138263,0.0024506279359007843
D8_DKT_MAIN,dkt,DP-C1p0,43,0.5,0.4924073189234801,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D8_DKT_MAIN__DP-C1p0__eps0p5__seed43,imd_low30_vs_high70,12258,5977,6281,0.6133761622441088,0.2110568757850888,0.6256966609136976,0.6045360270394838,0.02116063387421374,-0.02116063387421374,-0.02116063387421374,0.2101909311748041,0.21188090873138263,0.0016899775565785147
D8_DKT_MAIN,dkt,DP-C1p0,43,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D8_DKT_MAIN__DP-C1p0__eps1p0__seed43,imd_low30_vs_rest,21330,15049,6281,0.6463986135715738,0.18015990841533666,0.6510530345552481,0.6369394513579488,0.014113583197299273,-0.014113583197299273,-0.014113583197299273,0.178878245366917,0.1832307167604518,0.0043524713935348125
D8_DKT_MAIN,dkt,DP-C1p0,43,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D8_DKT_MAIN__DP-C1p0__eps1p0__seed43,imd_low30_vs_high70,12258,5977,6281,0.6434985218505327,0.1817181762898883,0.6523998943975537,0.6369394513579488,0.01546044303960492,-0.01546044303960492,-0.01546044303960492,0.18012870553606372,0.1832307167604518,0.0031020112243880793
D8_DKT_MAIN,dkt,DP-C1p0,43,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D8_DKT_MAIN__DP-C1p0__eps10p0__seed43,imd_low30_vs_rest,21330,15049,6281,0.716688622490133,0.07237447195464988,0.7216341905932246,0.7087881167386467,0.012846073854577922,-0.012846073854577922,-0.012846073854577922,0.06727550165503474,0.08459138073333296,0.01731587907829822
D8_DKT_MAIN,dkt,DP-C1p0,43,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D8_DKT_MAIN__DP-C1p0__eps10p0__seed43,imd_low30_vs_high70,12258,5977,6281,0.7142773786230263,0.07690200505965457,0.7248648446304309,0.7087881167386467,0.01607672789178416,-0.01607672789178416,-0.01607672789178416,0.06882153515729991,0.08459138073333296,0.015769845576033045
D8_DKT_MAIN,dkt,DP-C1p0,44,0.5,0.4924073189234801,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D8_DKT_MAIN__DP-C1p0__eps0p5__seed44,imd_low30_vs_rest,21330,15049,6281,0.6365067973566589,0.20685766109786474,0.6441442037667872,0.6242605679884832,0.019883635778303987,-0.019883635778303987,-0.019883635778303987,0.2064040584457007,0.20794447312022063,0.0015404146745199299
